,,,
Category,Term,Complete Form,Definition
MILITARY TERM,SDDC,Military Surface Deployment and Distribution Command,"It is a unique Army command that focuses on the global deployment and distribution of military forces and material, primarily through surface transportation."
MILITARY & COMMERCIAL TERM,SDS,Safety Data Sheet,It is a crucial document in shipping that provides comprehensive information about the properties and potential hazards of a substance or product.
COMMERCIAL TERM,SI,Shipping Instruction,"This is a detailed guideline provided by a shipper to a carrier or freight forwarder, outlining how a shipment should be handled and transported."
COMMERCIAL TERM,SKD,Semi Knocked Down,"It is a method where goods, often vehicles or large appliances, are partially assembled at the origin and then shipped in components or modules to be fully assembled at the destination."
COMMERCIAL TERM,SN,Shipping Note,It is a document that provides detailed information about a shipment of goods.
COMMERCIAL TERM,SOB,Shipped On Board,It means that cargoes have been physically loaded onto the designated vessel for transportation.
MILITARY & COMMERCIAL TERM,SOC,Shipper Owned Container,"It refers to a shipping container that is owned by the individual or company shipping the goods, rather than being owned or leased by the shipping line."
MILITARY & COMMERCIAL TERM,SOF,Statement of Facts,"It is a crucial document that logs all events during a ship's stay in port, including arrival, departure, cargo operations, weather conditions, and delays."
MILITARY & COMMERCIAL TERM,SOLAS,Safety of Life at Sea Convention,"It is a crucial treaty that sets minimum safety standards for the construction, equipment, and operation of merchant ships, primarily focusing on preventing shipwrecks and minimizing loss of life at sea."
COMMERCIAL TERM,STC,Said to Contain,"This phrase is used on shipping documents, particularly bills of lading, to indicate that the carrier is relying on the shipper's description of the goods rather than independently verifying it."
COMMERCIAL TERM,STW,Said to Weigh,This notation indicates that the carrier is not responsible for the accuracy of the declared weight of the shipment.
COMMERCIAL TERM,T/S,Transshipment,It refers to the process of transferring cargo from one ship to another at an intermediate port during its journey to the final destination.
MILITARY TERM,TAC,Transportation Account Code,"These are used in the shipping and transportation process to link movement authority, funding approval, and accounting data for shipments of cargo and personal property in the Defense Transportation System."
MILITARY TERM,TAN,Trans Arabian Network,It is a US military logistics and transportation network in the Middle East.
MILITARY TERM,TCN,Transportation Control Number,It is a unique identifier assigned to a shipment for tracking and accountability purposes throughout its journey.
MILITARY TERM,TDR,Transportation Discrepancy Report,"This document is used to report issues with shipments such as loss, shortage, or damage to Government material to support the filing of claims."
COMMERCIAL TERM,TEU,Twenty Foot Equivalent Unit,"It is a unit of measurement used to describe the capacity of container ships and terminals, based on the standard 20-foot shipping container."
MILITARY & COMMERCIAL TERM,THC,Terminal Handling Charge,"These charges are levied by terminal operators for the handling of cargo at a port, including loading, unloading, and storage."
MILITARY & COMMERCIAL TERM,TLX,Telex Release,It is an electronic message that allows a shipping carrier to release goods to the consignee without the original bill of lading.
MILITARY TERM,TMR,Transportation Movement Requests,"It is a formal document used to initiate the process of moving supplies or personnel, transforming an initial transportation request into a concrete plan for shipment."
COMMERCIAL TERM,TOS,Terms of Shipment,It refers to the agreed-upon conditions between a seller and a buyer outlining the responsibilities and obligations for the delivery of goods.
MILITARY TERM,TRANSCOM,United States Transportation Command,"It is a unified, functional combatant command responsible for global air, land, and sea transportation."
MILITARY TERM,TSC,Theater Sustainment Command,This is a U.S. Army logistics headquarters responsible for providing sustainment support within a specific geographic theater of operations.
COMMERCIAL TERM,TT,Transit Time,It is the total time it takes for a shipment to travel from its origin point to its final destination.
MILITARY TERM,ULN,Unit Line Number,"It is a unique alphanumeric code, typically seven characters long, used to identify a specific increment of a unit's deployment."
MILITARY & COMMERCIAL TERM,UOM,Unit of Measure,"It defines the standard physical units for tracking and managing inventory, such as cases, pallets, feet, gallons, or pounds."
MILITARY TERM,USC,Universal Service Contract,It is a contract that enables the Military Surface Deployment and Distribution Command (SDDC) to fulfill its mission by facilitating the movement of DTS cargo when ocean transport is required.
MILITARY & COMMERCIAL TERM,VAT,Value Added Tax,"It is an additional tax on imported goods, applied at every step of the supply chain - from raw materials to manufacturing and the sale of goods."
MILITARY & COMMERCIAL TERM,VDN,Voyage Document Number,It identifies the geographical area in which cargo is loaded on each voyage of a vessel.
MILITARY & COMMERCIAL TERM,VGM,Verified Gross Mass,"It is the total weight of a packed shipping container, including the cargo, dunnage, and the container's tare weight (empty weight)."
MILITARY & COMMERCIAL TERM,VIN,Vehicle Identification Number,"It is a unique 17-character alphanumeric code assigned to each vehicle, acting as its unique identifier."
MILITARY & COMMERCIAL TERM,VOL,Volume,"It refers to the amount of space that cargo occupies, typically measured in cubic units like cubic meters or cubic feet."
MILITARY & COMMERCIAL TERM,VSL,Vessel,"It is a broad term encompassing any type of watercraft, including ships, boats, and other floating structures, used for transportation on water."
MILITARY & COMMERCIAL TERM,W/M,Weight and/or Measurement,This is a common term used to determine freight charges which indicates that the shipping cost will be based on whichever yields a higher revenue: the actual weight of the shipment or its volume.
MILITARY & COMMERCIAL TERM,WB,Waybill,"It is a non-negotiable document that serves as a receipt for goods being shipped, outlining the details of the shipment and the terms of the transportation contract between the shipper and the carrier."
MILITARY & COMMERCIAL TERM,WRS,War Risk Surcharge,"It is an additional fee applied by shipping carriers to cover the increased costs associated with navigating areas of actual or potential war conflict, civil unrest, or piracy."
MILITARY & COMMERCIAL TERM,DFL,Duty Fee Letter,It refers to the notification and payment process for customs duties and import taxes that the recipient of an international shipment is responsible for paying.
MILITARY & COMMERCIAL TERM,ASYCUDA,Automated System for Customs Data,It is a computerized customs management system that covers most foreign trade procedures. It handles manifests and customs declarations.
MILITARY & COMMERCIAL TERM,RFI,Request for Information,"It is a formal, structured document sent by a customer to a supplier or service provider to gather general information about potential products, services, or capabilities."
MILITARY TERM,RFID,Radio Frequency Identification,It is a wireless technology that uses radio waves to automatically identify and track objects by capturing data from a tag using a reader.
MILITARY TERM,BVN,Best Value Number,"It refers to a scoring system used for awarding commercial service contracts, such as household goods moving, based on a combination of cost and performance."
